id,author_id,book_id
1,1,269
2,2,13
3,3,212
4,4,139
5,5,313
6,5,169
7,5,148
8,5,23
9,5,248
10,5,57
11,6,20
12,7,45
13,8,302
14,9,104
15,9,76
16,10,133
17,11,280
18,13,1
19,14,143
20,15,183
21,16,195
22,16,60
23,17,254
24,18,249
25,19,178
26,20,131
27,21,226
28,21,94
29,22,259
30,23,61
31,24,283
32,26,265
33,26,146
34,26,26
35,26,158
36,26,30
37,26,38
38,26,175
39,26,325
40,26,82
41,26,83
42,26,338
43,26,340
44,26,346
45,26,221
46,26,353
47,26,108
48,26,114
49,26,118
50,26,120
51,27,163
52,27,332
53,27,14
54,27,203
55,28,312
56,28,344
57,30,64
58,30,129
59,30,258
60,30,352
61,30,196
62,30,71
63,30,231
64,30,233
65,30,330
66,30,141
67,30,17
68,30,274
69,30,182
70,31,222
71,32,350
72,32,316
73,32,174
74,33,68
75,34,281
76,35,229
77,36,262
78,38,133
79,39,266
80,40,128
81,40,7
82,40,263
83,40,137
84,40,267
85,40,142
86,40,19
87,40,151
88,40,282
89,40,156
90,40,28
91,40,291
92,40,36
93,40,170
94,40,306
95,40,310
96,40,193
97,40,194
98,40,322
99,40,323
100,40,200
101,40,202
102,40,77
103,40,206
104,40,79
105,40,216
106,40,89
107,40,348
108,40,227
109,40,355
110,40,101
111,40,234
112,40,239
113,40,113
114,40,245
115,40,246
116,40,121
117,40,124
118,41,290
119,42,289
120,43,133
121,45,261
122,46,188
123,46,15
124,47,261
125,48,69
126,48,22
127,49,309
128,49,126
129,50,133
130,51,29
131,52,133
132,53,133
133,54,286
134,55,90
135,56,321
136,57,32
137,57,75
138,57,12
139,57,115
140,57,351
141,58,69
143,59,106
144,59,335
145,61,298
146,62,43
147,63,110
148,64,33
149,65,133
150,66,161
151,67,133
152,68,357
153,70,260
154,70,138
155,70,272
156,70,273
157,70,18
158,70,34
159,70,162
160,70,37
161,70,296
162,70,56
163,70,319
164,70,192
165,70,333
166,70,336
167,70,210
168,70,339
169,70,84
170,70,100
171,70,228
172,70,359
173,70,232
174,70,116
175,70,127
176,71,256
177,71,70
178,71,358
179,71,270
180,71,111
181,71,334
182,71,52
183,71,342
184,71,88
185,71,252
186,72,66
187,72,331
188,72,46
189,72,122
190,72,123
191,72,254
192,73,96
193,73,220
194,74,301
195,75,204
196,75,44
197,75,173
198,76,241
199,77,198
200,78,317
201,79,171
202,80,133
203,81,225
204,82,63
205,83,119
206,85,136
207,85,314
208,85,78
209,85,145
210,85,244
211,85,250
212,85,92
213,85,190
214,86,286
215,87,185
216,88,161
217,89,99
218,90,218
219,90,51
220,90,324
221,91,133
222,92,97
223,92,242
224,93,189
225,94,224
226,95,208
227,96,133
228,97,130
229,97,67
230,97,223
231,97,165
232,97,102
233,97,134
234,97,201
235,97,361
236,97,16
237,97,48
238,97,176
239,97,179
240,97,275
241,97,276
242,97,311
243,97,157
244,97,318
245,97,159
246,98,257
247,98,292
248,98,6
249,98,166
250,98,72
251,98,9
252,98,295
253,98,299
254,98,140
255,98,327
256,98,329
257,98,47
258,98,304
259,98,362
260,98,217
261,98,91
262,98,125
263,98,287
264,99,35
265,99,247
266,100,49
267,101,167
268,102,328
269,103,69
271,104,4
272,105,2
273,106,153
274,107,307
275,108,112
276,108,305
277,108,211
278,108,180
279,108,277
280,108,279
281,108,345
282,108,93
283,109,288
284,109,213
285,110,133
286,111,117
287,112,240
288,113,27
289,114,271
290,114,135
291,117,54
292,118,356
293,118,341
294,118,181
295,119,105
296,119,154
297,119,363
298,119,253
299,120,326
300,121,73
301,122,132
302,122,268
303,122,109
304,122,81
305,122,243
306,122,308
307,122,278
308,122,152
309,122,347
310,124,95
311,125,320
312,126,131
313,127,133
314,128,300
315,129,46
316,130,133
317,131,261
318,132,74
319,132,237
320,132,301
321,132,365
322,132,315
323,132,337
324,132,150
325,132,251
326,132,285
327,133,85
328,134,235
329,135,3
330,135,5
331,135,230
332,135,39
333,135,42
334,135,11
335,135,205
336,135,207
337,135,144
338,135,21
339,136,50
340,136,53
341,137,161
342,138,103
343,138,40
344,138,86
345,138,284
346,138,255
347,139,155
348,140,8
349,141,209
350,141,62
351,141,31
352,142,238
353,25,349
354,84,249
355,32,293
356,29,65
357,29,191
358,116,107
359,44,160
360,37,147
361,69,177
362,123,199
