id,name,publisher,description,ISBN_Identifiers,averageRating,ratingsCount,imageLinks,pageCount,genres_id
322,"Across the River and Into the Trees","Random House","Richard Cantrell, an American colonel falls passionately in love with an Italian countess in Venice just after World War Two has ended. The fighting may have ended but for some the longed-for peace has come too late.","[{""type"": ""ISBN_13"", ""identifier"": ""9780099909606""}, {""type"": ""ISBN_10"", ""identifier"": ""009990960X""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=2gX0ccw950gC&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=2gX0ccw950gC&printsec=frontcover&img=1&zoom=1&source=gbs_api""}",242,1
323,"The Short Stories of Ernest Hemingway","Simon and Schuster","At the age of twenty-two, Ernest Hemingway wrote his first short story, ""Up in Michigan."" Seventeen years and forty-eight titles later, he was the undisputed master of the short-story form and the leading American man of letters. The Short Stories, introduced here with a revealing preface by the author, chronicles Hemingway's development as a writer, from his earliest attempts in the chapbook Three Stories and Ten Poems, published in Paris in 1923, to his more mature accomplishments in Winner Take Nothing. Originally published in 1938 along with The Fifth Column, this collection premiered ""The Capital of the World"" and ""Old Man at the Bridge,"" which derive from Hemingway's experiences in Spain, as well as ""The Short Happy Life of Francis Macomber"" and ""The Snows of Kilimanjaro,"" which figure among the finest of Hemingway's short fictions.","[{""type"": ""ISBN_13"", ""identifier"": ""9780684803340""}, {""type"": ""ISBN_10"", ""identifier"": ""0684803348""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=oeIoDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=oeIoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}",576,1
324,"Robinson Crusoe Annotated",none,"Robinson Crusoe is a novel by Daniel Defoe, first published on 25 April 1719. The first edition credited the work's protagonist Robinson Crusoe as its author, leading many readers to believe he was a real person and the book a travelogue of true incidents.","[{""type"": ""ISBN_13"", ""identifier"": ""9798521662418""}]",0,0,"""none""",342,1
325,"King Lear",DigiCat,"King Lear is a tragedy by William Shakespeare written between 1603 and 1606 and later revised. Shakespeare's earlier version, The True Chronicle of the History of the Life and Death of King Lear and His Three Daughters, was published in quarto in 1608. The Tragedy of King Lear, a more theatrical version, was included in the 1623 First Folio. The title character descends into madness after disposing of his estate between two of his three daughters based on their flattery, bringing tragic consequences for all. The play is based on the legend of Leir of Britain, a mythological pre-Roman Celtic king. Life of William Shakespeare is a biography of William Shakespeare by the eminent critic Sidney Lee. This book was one of the first major biographies of the Bard of Avon. It was published in 1898, based on the article contributed to the Dictionary of National Biography. William Shakespeare (1564 – 1616) was an English poet and playwright, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"". His extant works, including some collaborations, consist of about 38 plays, 154 sonnets, two long narrative poems, and a few other verses, the authorship of some of which is uncertain. Sir Sidney Lee (1859 – 1926) was an English biographer and critic. He was a lifelong scholar and enthusiast of Shakespeare. His article on Shakespeare in the fifty-first volume of the Dictionary of National Biography formed the basis of his Life of William Shakespeare. This full-length life is often credited as the first modern biography of the poet.","[{""type"": ""OTHER"", ""identifier"": ""EAN:8596547002369""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=V_dyEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=V_dyEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}",629,24
326,"Future Shock","New York : Bantam Books","Explores the nature and implications of a third wave of change that is now creating a new civilization with its own life-styles, jobs, sexual attitudes, concepts of family and love, economic structures, and political philosophies","[{""type"": ""ISBN_10"", ""identifier"": ""0553144316""}, {""type"": ""ISBN_13"", ""identifier"": ""9780553144314""}]",4,3,"{""smallThumbnail"": ""http://books.google.com/books/content?id=TayGZxfYF_EC&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=TayGZxfYF_EC&printsec=frontcover&img=1&zoom=1&source=gbs_api""}",537,1
327,Leviathan,Penguin,"A “compelling” (Los Angeles Times) tale of friendship, betrayal, estrangement, and the unpredictable intrusions of violence in the everyday – from the author of the forthcoming 4 3 2 1: A Novel ""Six days ago, a man blew himself up by the side of a road in northern Wisconsin. . . ."" So begins the story by Peter Aaron about his best friend, Benjamin Sachs. Sachs had a marriage Aaron envied, an intelligence he admired, a world he shared. And then suddenly, after a near-fatal fall that might or might not have been intentional, Sachs disappeared. Now Aaron must piece together the life that led to Sach's death. His sole aim is to tell the truth and preserve it, before those who are investigating the case invent an account of their own.","[{""type"": ""ISBN_13"", ""identifier"": ""9781101562611""}, {""type"": ""ISBN_10"", ""identifier"": ""1101562617""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=k_38e0ids08C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=k_38e0ids08C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}",289,1
328,"Ordinary Grace","Simon and Schuster","NEW YORK TIMES BESTSELLER WINNER OF THE 2014 EDGAR AWARD FOR BEST NOVEL WINNER OF THE 2014 DILYS AWARD A SCHOOL LIBRARY JOURNAL BEST BOOK OF 2013 From New York Times bestselling author William Kent Krueger, a brilliant new novel about a young man, a small town, and murder in the summer of 1961. “That was it. That was all of it. A grace so ordinary there was no reason at all to remember it. Yet I have never across the forty years since it was spoken forgotten a single word.” New Bremen, Minnesota, 1961. The Twins were playing their debut season, ice-cold root beers were selling out at the soda counter of Halderson’s Drugstore, and Hot Stuff comic books were a mainstay on every barbershop magazine rack. It was a time of innocence and hope for a country with a new, young president. But for thirteen-year-old Frank Drum it was a grim summer in which death visited frequently and assumed many forms. Accident. Nature. Suicide. Murder. Frank begins the season preoccupied with the concerns of any teenage boy, but when tragedy unexpectedly strikes his family—which includes his Methodist minister father; his passionate, artistic mother; Juilliard-bound older sister; and wise-beyond-his-years kid brother—he finds himself thrust into an adult world full of secrets, lies, adultery, and betrayal, suddenly called upon to demonstrate a maturity and gumption beyond his years. Told from Frank’s perspective forty years after that fateful summer, Ordinary Grace is a brilliantly moving account of a boy standing at the door of his young manhood, trying to understand a world that seems to be falling apart around him. It is an unforgettable novel about discovering the terrible price of wisdom and the enduring grace of God.","[{""type"": ""ISBN_13"", ""identifier"": ""9781476740126""}, {""type"": ""ISBN_10"", ""identifier"": ""1476740127""}]",5,1,"{""smallThumbnail"": ""http://books.google.com/books/content?id=KbtEAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=KbtEAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}",320,1
329,"In the Country of Last Things","Viking Adult","In the country of last things the masses are homeless, theft is so rampant it is no longer a crime, and death--by arranging either a suicide or assassination--is the only way out. Anna Blume comes to an unnamed city in search of her brother. In her struggle to survive, Anna becomes a scavenger in search of objects from the past to sell for food and shelter. But she will also find friendship--even love--in this devastated world. In the Country of Last Things is a tour-de-force that reaffirms Paul Auster as one of the most accomplished and singular talents of his generation.","[{""type"": ""OTHER"", ""identifier"": ""UCSC:32106007737163""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=l-iwAAAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=l-iwAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}",216,1
330,"The Brothers Karamazov by Fyodor Dostoevsky","Independently Published","Completed only a few months before the author's death, The Brothers Karamazov is Dostoyevsky's largest, most expansive, most life-embracing work. Filled with human passions ― lust, greed, love, jealousy, sorrow, and humor ― the book is also infused with moral issues and the issue of collective guilt. As in many of Dostoyevsky's novels, the plot centers on a murder. Three brothers, different in character but bound by their ancestry, are drawn into the crime's vortex: Dmitri, a young officer utterly unrestrained in love, hatred, jealousy, and generosity; Ivan, an intellectual capable of delivering impromptu disquisitions about good and evil, God, and the devil; and Alyosha, the youngest brother, preternaturally patient, kind, and loving. Part mystery, part profound philosophical and theological debate, The Brothers Karamazov represents the culmination of Dostoyevsky's life's work and ranks among the greatest novels of all time.","[{""type"": ""ISBN_13"", ""identifier"": ""9798552844593""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=dnb3zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=dnb3zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}",208,1
331,"The Importance of Being Earnest","Createspace Independent Publishing Platform","Oscar Wilde (16 October 1854 - 30 November 1900) was an extremely popular Irish writer and poet who wrote in different forms throughout his career and became one of London's most popular playwrights in the early 1890s. Today he is remembered for his epigrams, plays and the strange circumstances of his imprisonment, followed by his early death. At the turn of the 1890s, Wilde refined his ideas about the supremacy of art in a series of dialogues and essays, and incorporated themes of decadence, duplicity, and beauty into his only novel, The Picture of Dorian Gray (1890). The opportunity to construct aesthetic details precisely, and combine them with larger social themes, drew Wilde to write drama. He wrote Salome (1891) in French in Paris but it was refused a license. Unperturbed, Wilde produced four society comedies in the early 1890s, which made him one of the most successful playwrights of late Victorian London. Wilde reached the height of his fame and success with The Importance of Being Earnest (1895).","[{""type"": ""ISBN_10"", ""identifier"": ""1522901868""}, {""type"": ""ISBN_13"", ""identifier"": ""9781522901860""}]",0,0,"{""smallThumbnail"": ""http://books.google.com/books/content?id=rFAljwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=rFAljwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}",52,1
